normal_period,region_name,month,variable,variable_label,unit,normal_value,p33_33,p66_67,lower_tercile,middle_tercile,upper_tercile
1991-2020,강원도 영서,10,precip,강수량,mm,49.2867,29.8449,56.1168,< 29.8449 (적음),29.8449 - 56.1168 (비슷),> 56.1168 (많음)
1991-2020,강원도 영서,10,tavg,평균기온,degC,12.3012,11.7439,12.9756,< 11.7439 (낮음),11.7439 - 12.9756 (비슷),> 12.9756 (높음)
1991-2020,강원도 영서,11,precip,강수량,mm,44.0613,28.9585,54.3402,< 28.9585 (적음),28.9585 - 54.3402 (비슷),> 54.3402 (많음)
1991-2020,강원도 영서,11,tavg,평균기온,degC,4.9892,4.1128,5.6265,< 4.1128 (낮음),4.1128 - 5.6265 (비슷),> 5.6265 (높음)
1991-2020,강원도 영서,12,precip,강수량,mm,21.9467,14.0132,23.4361,< 14.0132 (적음),14.0132 - 23.4361 (비슷),> 23.4361 (많음)
1991-2020,강원도 영서,12,tavg,평균기온,degC,-2.2165,-2.6376,-1.3875,< -2.6376 (낮음),-2.6376 - -1.3875 (비슷),> -1.3875 (높음)
1991-2020,광주-전라남도,1,precip,강수량,mm,29.6319,16.9085,37.3605,< 16.9085 (적음),16.9085 - 37.3605 (비슷),> 37.3605 (많음)
1991-2020,광주-전라남도,1,tavg,평균기온,degC,1.7507,1.2991,2.271,< 1.2991 (낮음),1.2991 - 2.271 (비슷),> 2.271 (높음)
1991-2020,광주-전라남도,2,precip,강수량,mm,43.6833,32.409,49.4913,< 32.409 (적음),32.409 - 49.4913 (비슷),> 49.4913 (많음)
1991-2020,광주-전라남도,2,tavg,평균기온,degC,3.2496,3.0499,3.6676,< 3.0499 (낮음),3.0499 - 3.6676 (비슷),> 3.6676 (높음)
1991-2020,광주-전라남도,3,precip,강수량,mm,79.7195,61.6222,91.3221,< 61.6222 (적음),61.6222 - 91.3221 (비슷),> 91.3221 (많음)
1991-2020,광주-전라남도,3,tavg,평균기온,degC,7.3298,7.0278,7.8649,< 7.0278 (낮음),7.0278 - 7.8649 (비슷),> 7.8649 (높음)
1991-2020,광주-전라남도,4,precip,강수량,mm,109.2895,80.4587,119.1844,< 80.4587 (적음),80.4587 - 119.1844 (비슷),> 119.1844 (많음)
1991-2020,광주-전라남도,4,tavg,평균기온,degC,12.6918,12.2656,13.1878,< 12.2656 (낮음),12.2656 - 13.1878 (비슷),> 13.1878 (높음)
1991-2020,광주-전라남도,5,precip,강수량,mm,118.6329,110.0559,131.4048,< 110.0559 (적음),110.0559 - 131.4048 (비슷),> 131.4048 (많음)
1991-2020,광주-전라남도,5,tavg,평균기온,degC,17.6609,17.3619,18.0295,< 17.3619 (낮음),17.3619 - 18.0295 (비슷),> 18.0295 (높음)
1991-2020,광주-전라남도,6,precip,강수량,mm,176.839,118.6499,213.8364,< 118.6499 (적음),118.6499 - 213.8364 (비슷),> 213.8364 (많음)
1991-2020,광주-전라남도,6,tavg,평균기온,degC,21.5256,21.2425,21.8295,< 21.2425 (낮음),21.2425 - 21.8295 (비슷),> 21.8295 (높음)
1991-2020,광주-전라남도,7,precip,강수량,mm,259.3781,206.4676,279.1734,< 206.4676 (적음),206.4676 - 279.1734 (비슷),> 279.1734 (많음)
1991-2020,광주-전라남도,7,tavg,평균기온,degC,24.9763,24.4315,25.4668,< 24.4315 (낮음),24.4315 - 25.4668 (비슷),> 25.4668 (높음)
1991-2020,광주-전라남도,8,precip,강수량,mm,266.9581,192.1833,321.9704,< 192.1833 (적음),192.1833 - 321.9704 (비슷),> 321.9704 (많음)
1991-2020,광주-전라남도,8,tavg,평균기온,degC,25.9955,25.5588,26.6198,< 25.5588 (낮음),25.5588 - 26.6198 (비슷),> 26.6198 (높음)
1991-2020,광주-전라남도,9,precip,강수량,mm,156.0048,78.9564,220.1134,< 78.9564 (적음),78.9564 - 220.1134 (비슷),> 220.1134 (많음)
1991-2020,광주-전라남도,9,tavg,평균기온,degC,21.9371,21.6286,22.2105,< 21.6286 (낮음),21.6286 - 22.2105 (비슷),> 22.2105 (높음)
1991-2020,광주-전라남도,10,precip,강수량,mm,64.6895,34.6769,64.0593,< 34.6769 (적음),34.6769 - 64.0593 (비슷),> 64.0593 (많음)
1991-2020,광주-전라남도,10,tavg,평균기온,degC,16.1658,15.7284,16.4897,< 15.7284 (낮음),15.7284 - 16.4897 (비슷),> 16.4897 (높음)
1991-2020,광주-전라남도,11,precip,강수량,mm,52.2629,24.9077,59.5085,< 24.9077 (적음),24.9077 - 59.5085 (비슷),> 59.5085 (많음)
1991-2020,광주-전라남도,11,tavg,평균기온,degC,9.917,9.1401,10.5138,< 9.1401 (낮음),9.1401 - 10.5138 (비슷),> 10.5138 (높음)
1991-2020,광주-전라남도,12,precip,강수량,mm,32.9781,24.3261,41.1743,< 24.3261 (적음),24.3261 - 41.1743 (비슷),> 41.1743 (많음)
1991-2020,광주-전라남도,12,tavg,평균기온,degC,3.8696,3.5506,4.5787,< 3.5506 (낮음),3.5506 - 4.5787 (비슷),> 4.5787 (높음)
1991-2020,남부지역,1,precip,강수량,mm,28.2792,21.0649,30.1716,< 21.0649 (적음),21.0649 - 30.1716 (비슷),> 30.1716 (많음)
1991-2020,남부지역,1,tavg,평균기온,degC,0.3468,-0.1589,0.9269,< -0.1589 (낮음),-0.1589 - 0.9269 (비슷),> 0.9269 (높음)
1991-2020,남부지역,2,precip,강수량,mm,38.5151,26.8712,47.4393,< 26.8712 (적음),26.8712 - 47.4393 (비슷),> 47.4393 (많음)
1991-2020,남부지역,2,tavg,평균기온,degC,2.339,1.9485,2.7457,< 1.9485 (낮음),1.9485 - 2.7457 (비슷),> 2.7457 (높음)
1991-2020,남부지역,3,precip,강수량,mm,65.2211,51.1612,71.0557,< 51.1612 (적음),51.1612 - 71.0557 (비슷),> 71.0557 (많음)
1991-2020,남부지역,3,tavg,평균기온,degC,6.8909,6.4994,7.4565,< 6.4994 (낮음),6.4994 - 7.4565 (비슷),> 7.4565 (높음)
1991-2020,남부지역,4,precip,강수량,mm,99.5072,79.9416,109.8712,< 79.9416 (적음),79.9416 - 109.8712 (비슷),> 109.8712 (많음)
1991-2020,남부지역,4,tavg,평균기온,degC,12.5775,12.1689,13.0494,< 12.1689 (낮음),12.1689 - 13.0494 (비슷),> 13.0494 (높음)
1991-2020,남부지역,5,precip,강수량,mm,108.6857,86.5664,131.138,< 86.5664 (적음),86.5664 - 131.138 (비슷),> 131.138 (많음)
1991-2020,남부지역,5,tavg,평균기온,degC,17.6261,17.2743,18.0067,< 17.2743 (낮음),17.2743 - 18.0067 (비슷),> 18.0067 (높음)
1991-2020,남부지역,6,precip,강수량,mm,158.1849,99.8845,198.9506,< 99.8845 (적음),99.8845 - 198.9506 (비슷),> 198.9506 (많음)
1991-2020,남부지역,6,tavg,평균기온,degC,21.5026,21.286,21.8748,< 21.286 (낮음),21.286 - 21.8748 (비슷),> 21.8748 (높음)
1991-2020,남부지역,7,precip,강수량,mm,274.5419,223.643,283.2626,< 223.643 (적음),223.643 - 283.2626 (비슷),> 283.2626 (많음)
1991-2020,남부지역,7,tavg,평균기온,degC,24.8201,24.3573,25.3651,< 24.3573 (낮음),24.3573 - 25.3651 (비슷),> 25.3651 (높음)
1991-2020,남부지역,8,precip,강수량,mm,271.0425,191.0744,324.4915,< 191.0744 (적음),191.0744 - 324.4915 (비슷),> 324.4915 (많음)
1991-2020,남부지역,8,tavg,평균기온,degC,25.4672,25.0997,26.2218,< 25.0997 (낮음),25.0997 - 26.2218 (비슷),> 26.2218 (높음)
1991-2020,남부지역,9,precip,강수량,mm,157.6858,90.7137,202.2092,< 90.7137 (적음),90.7137 - 202.2092 (비슷),> 202.2092 (많음)
1991-2020,남부지역,9,tavg,평균기온,degC,20.9893,20.7164,21.4219,< 20.7164 (낮음),20.7164 - 21.4219 (비슷),> 21.4219 (높음)
